Cod.Articolo,Nome Prodotto,Categoria,Sottocategoria,Descrizione,Specifiche Tecniche,Conf.(pz),Box(pz),Bianco(_B),Nero(_N),Marrone(_M),Oro(_O),Argento(_A),Trasparente(_T),Nickelato(_NK),Grigio(_G)
970/3,Multipresa 3 posti ,Materiale Elettrico,Multipresa,Multipresa 3 posti con interruttore+schuko,"Cablaggio: Tripolare | Spina: 2P+T 16A | Prese: 3 x Universali (Schuko/Bipasso) | Lunghezza: 1,5 mt | Tensione Nominale: 250Vac | Corrente Nominale: 16A | Sicurezza: Interruttore e Alveoli Protetti",1,20,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
970/4,Multipresa 4 posti,Materiale Elettrico,Multipresa,Multipresa 4 posti con interruttore+schuko,"Cablaggio: Tripolare | Spina: 2P+T 16A | Prese: 4 x Universali (Schuko/Bipasso) | Lunghezza: 1,5 mt | Tensione Nominale: 250Vac | Corrente Nominale: 16A | Sicurezza: Interruttore e Alveoli Protetti",1,20,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
970/5,Multipresa 5 posti,Materiale Elettrico,Multipresa,Multipresa 5 posti con interruttore+schuko,"Cablaggio: Tripolare | Spina: 2P+T 16A | Prese: 5 x Universali (Schuko/Bipasso) | Lunghezza: 1,5 mt | Tensione Nominale: 250Vac | Corrente Nominale: 16A | Sicurezza: Interruttore e Alveoli Protetti",1,20,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
970/6,Multipresa 6 posti,Materiale Elettrico,Multipresa,Multipresa 6 posti con interruttore+schuko,"Cablaggio: Tripolare | Spina: 2P+T 16A | Prese: 6 x Universali (Schuko/Bipasso) | Lunghezza: 1,5 mt | Tensione Nominale: 250Vac | Corrente Nominale: 16A | Sicurezza: Interruttore e Alveoli Protetti",1,25,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
D/002A,Distanziatore livellante mm. 12-20 ,Materiale Edile,Fissaggio,Sistema che facilita la posa di piastrelle mm. 12-20,Applicazione: Piastrelle spessore 12-20 mm | Materiale: HDPE (Polietilene ad alta densità) | Funzione: Posa facilitata e livellamento planare,250,2500,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"D/000,5","Distanziatore livellante mm. 0,5",Materiale Edile,Fissaggio,"Sistema che facilita la posa di piastrelle mm. 0,5","Spessore Fuga: 0,5 mm | Materiale: HDPE (Polietilene ad alta densità) | Funzione: Posa facilitata e livellamento planare",250,3500,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
D/C000,Cuneo per distanziatore,Materiale Edile,Fissaggio,Sistema che facilita la posa di piastrelle,Sistema: Livellamento Planare | Materiale: HDPE (Polietilene ad alta densità) | Caratteristica: Riutilizzabile | Compatibilità: Universale,250,2500,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
D/DS001,"Distanziatore livellante mm. 1,00",Materiale Edile,Fissaggio,"Sistema che facilita la posa di piastrelle mm. 1,00","Spessore Fuga: 1,00 mm | Materiale: HDPE Alta Densità | Funzione: Livellamento Planare",250,3500,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
D/DS002,"Distanziatore livellante mm. 2,00",Materiale Edile,Fissaggio,"Sistema che facilita la posa di piastrelle mm. 2,00","Spessore Fuga: 2,00 mm | Materiale: HDPE Alta Densità | Funzione: Livellamento Planare",250,3000,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
D/DS003,"Distanziatore livellante mm. 3,00",Materiale Edile,Fissaggio,"Sistema che facilita la posa di piastrelle mm.3,00","Spessore Fuga: 3,00 mm | Materiale: HDPE Alta Densità | Funzione: Livellamento Planare",250,3000,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"D/DS1,50","Distanziatore livellante mm. 1,50",Materiale Edile,Fissaggio,"Sistema che facilita la posa di piastrelle mm.1,50","Spessore Fuga: 1,50 mm | Materiale: HDPE Alta Densità | Funzione: Livellamento Planare",250,3000,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"D/DV1,00","Distanziatore a vite mm. 1,00",Materiale Edile,Fissaggio,"Distanziatore livellante a vite mm. 1,00","Spessore Fuga: 1,00 mm | Materiale: HDPE Alta Densità | Sistema: Tirante a rotazione",250,2500,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"D/DV1,60","Distanziatore a vite mm. 1,60",Materiale Edile,Fissaggio,"Distanziatore livellante a vite mm. 1,60","Spessore Fuga: 1,60 mm | Materiale: HDPE Alta Densità | Sistema: Tirante a rotazione",250,2500,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
F6/20,Fungo di protezione,Materiale Edile,Fissaggio,Fungo di protezione per tondini diametro 6-20 mm,Applicazione: Tondini Ø 6-20 mm | Materiale: HDPE Alta Densità | Colore: Rosso Alta Visibilità | Funzione: Antinfortunistica (Anti-lesione),100,1000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
g.13/14,Isolatore fissacavo con chiodo mm. 13-14,Sistemi di Fissaggio,Fissaggio,Fissacavo a chiodo per cavo mm 13/14,Ø Cavo: 13-14 mm | Materiale: Tecnopolimero (HDPE) | Fissaggio: Chiodo in Acciaio Temperato,100,6000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
g.15/16,Isolatore fissacavo con chiodo mm. 15-16,Sistemi di Fissaggio,Fissaggio,Fissacavo a chiodoper cavo mm 15/16,Ø Cavo: 15-16 mm | Materiale: Tecnopolimero (HDPE) | Fissaggio: Chiodo in Acciaio Temperato,100,4000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
g.19/20,Isolatore fissacavo con chiodo mm. 19-20,Sistemi di Fissaggio,Fissaggio,Fissacavo a chiodoper cavo mm 19/20,Ø Cavo: 19-20 mm | Materiale: Tecnopolimero (HDPE) | Fissaggio: Chiodo in Acciaio Temperato,100,1500,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
g.3/4,Isolatore fissacavo con chiodo mm. 3-4,Sistemi di Fissaggio,Fissaggio,Fissacavo a chiodoper cavo mm 3/4,Ø Cavo: 3-4 mm | Materiale: Tecnopolimero (HDPE) | Fissaggio: Chiodo in Acciaio Temperato,100,8000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
g.4,Isolatore fissacavo con chiodo mm. 4,Sistemi di Fissaggio,Fissaggio,Fissacavo a chiodoper cavo mm 4,Ø Cavo: 4 mm | Materiale: Tecnopolimero (HDPE) | Fissaggio: Chiodo in Acciaio Temperato,100,8000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
g.5-p,Isolatore fissacavo con chiodo piattina mm. 5,Sistemi di Fissaggio,Fissaggio,Fissacavo per cavo mm 5,Tipologia: Fissacavo per Piattina | Misura: 5 mm | Materiale: Tecnopolimero (HDPE) | Fissaggio: Chiodo in Acciaio Temperato | Profilo: Rettangolare/Piatto,100,8000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
g.5/6,Isolatore fissacavo con chiodo mm. 5-6,Sistemi di Fissaggio,Fissaggio,Fissacavo per cavo mm 5/6,Ø Cavo: 5-6 mm | Materiale: Tecnopolimero (HDPE) | Fissaggio: Chiodo in Acciaio Temperato,100,13000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
g.6-p,Isolatore fissacavo con chiodo piattina mm. 6,Sistemi di Fissaggio,Fissaggio,Fissacavo per cavo mm 6,Tipologia: Fissacavo per Piattina | Misura: 6 mm | Materiale: Tecnopolimero (HDPE) | Fissaggio: Chiodo in Acciaio Temperato | Profilo: Rettangolare/Piatto,100,8000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
g.6/7,Isolatore fissacavo con chiodo mm. 6-7,Sistemi di Fissaggio,Fissaggio,Fissacavo per cavo mm 6/7,Ø Cavo: 6-7 mm | Materiale: Tecnopolimero (HDPE) | Fissaggio: Chiodo in Acciaio Temperato,100,15000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
g.7/8,Isolatore fissacavo con chiodo mm. 7-8,Sistemi di Fissaggio,Fissaggio,Fissacavo per cavo mm 7/8,Ø Cavo: 7-8 mm | Materiale: Tecnopolimero (HDPE) | Fissaggio: Chiodo in Acciaio Temperato,100,14000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
g.9/10,Isolatore fissacavo con chiodo mm. 9-10,Sistemi di Fissaggio,Fissaggio,Fissacavo per cavo mm 9/10,Ø Cavo: 9-10 mm | Materiale: Tecnopolimero (HDPE) | Fissaggio: Chiodo in Acciaio Temperato,100,10000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Ple14,Portalampada attacco E14 ,Materiale Elettrico,Fissaggio,Portalampade E14 liscio ,Tipologia: Portalampade Liscio | Attacco: E14 | Materiale: Termoplastico | Tensione: 250 Vac | Cablaggio: Morsetti a vite,100,500,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Ple27,Portalampada attacco E27 ,Materiale Elettrico,Fissaggio,Portalampade E27 liscio ,Tipologia: Portalampade Liscio | Attacco: E27 | Materiale: Termoplastico | Tensione: 250 Vac | Cablaggio: Morsetti a vite,50,250,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Ple27/C,Portalampade attacco E27 curvo,Materiale Elettrico,Fissaggio,Portalampade E27 Curvo,Tipologia: Portalampade Curvo | Attacco: E27 | Base: Dritta | Contatti: Acciaio Zincato | Fissaggio: 4 Fori passanti | Materiale: Termoplastico,25,100,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Ple27/D,Portalampade attacco E27 dritto,Materiale Elettrico,Fissaggio,Portalampade E27 Dritto,Tipologia: Portalampade Dritto | Attacco: E27 | Base: Dritta | Contatti: Acciaio Zincato | Fissaggio: 4 Fori passanti | Materiale: Termoplastico,25,100,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
t.5/100,Tassello mm. 5,Sistemi di Fissaggio,Fissaggio,Tassello mm.5 ,Tipologia: Tassello ad Espansione | Diametro Foro: 5 mm | Compatibilità: Vite Truciolare | Materiale: Tecnopolimero (Termoplastico),50,1000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
t.6/100,Tassello mm. 6,Sistemi di Fissaggio,Fissaggio,Tassello mm.6 ,Tipologia: Tassello ad Espansione | Diametro Foro: 6 mm | Compatibilità: Vite Truciolare | Materiale: Tecnopolimero (Termoplastico),50,1000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
